Exhibition Title,Start Date,Start Year,End Date,Street Address
Chris Perry: Ripples Current(ly),01-22-2016,2016,04-02-2016,"28 W 27th St, New York, NY 10001"
Enacting the Text: Performing With Words,10-07-2016,2016,12-10-2016,"28 W 27th St, New York, NY 10001"
Featured Artist Project China Marks: Time Traveler,10-07-2016,2016,12-10-2016,"28 W 27th St, New York, NY 10001"
Making Sense Of The Senses,07-13-2016,2016,09-24-2016,"28 W 27th St, New York, NY 10001"
Queering The BibliObject,04-15-2016,2016,06-25-2016,"28 W 27th St, New York, NY 10001"
Revealed Terrain: The Semantics of Landscape,01-22-2016,2016,04-02-2016,"28 W 27th St, New York, NY 10001"
Rosemarie Chiarlone and Susan Weiner: Obstruction,04-15-2016,2016,06-25-2016,"28 W 27th St, New York, NY 10001"
Sheherzade's Gift: Subversive Narratives,07-13-2016,2016,09-24-2016,"28 W 27th St, New York, NY 10001"
SWEAT Broadsheet Collaboration,01-22-2016,2016,04-02-2016,"28 W 27th St, New York, NY 10001"
2015-2016 Scholars For Advanced Study In Book Arts,02-03-2017,2017,04-08-2017,"28 W 27th St, New York, NY 10001"
Animation + Printing,07-12-2017,2017,09-23-2017,"28 W 27th St, New York, NY 10001"
Brian Taylor: Room Full Of Ideas,04-21-2017,2017,07-01-2017,"28 W 27th St, New York, NY 10001"
Chantal Zakari: Narratives of Conflict (In Collaboration With Mike Mandel),02-03-2017,2017,04-08-2017,"28 W 27th St, New York, NY 10001"
En Masse: Books Orchestrated,04-21-2017,2017,07-01-2017,"28 W 27th St, New York, NY 10001"
Faculty Fellow: Mark Cockram,10-06-2017,2017,12-16-2017,"28 W 27th St, New York, NY 10001"
Felicia Rice: Collaboration and Metamorphosis,10-06-2017,2017,12-16-2017,"28 W 27th St, New York, NY 10001"
Protest ≠ Profest: Global Burdens,07-12-2017,2017,09-23-2017,"28 W 27th St, New York, NY 10001"
Pulp As Portal: Socially Engaged Hand Papermaking,02-03-2017,2017,04-08-2017,"28 W 27th St, New York, NY 10001"
